model,load_time,avg_inference_time,weighted_precision,weighted_recall,weighted_f1,precision_at_k,mrr,hit_rate,ndcg,sample_size
sentence-transformers/all-MiniLM-L6-v2,21.943618059158325,0.0906755256652832,0.8994594594594594,0.88,0.8695798319327731,0.7389277389277389,0.9866666666666667,1.0,0.9405639180362115,50
sentence-transformers/all-MiniLM-L12-v2,24.342796087265015,0.07587065696716308,0.8100645161290322,0.8,0.797896551724138,0.6864608076009501,0.99,1.0,0.9396428062569023,50
sentence-transformers/all-mpnet-base-v2,81.69721722602844,0.12444931983947755,0.9054285714285715,0.92,0.908966405890474,0.704225352112676,0.9866666666666666,1.0,0.9371139180166989,50
sentence-transformers/all-distilroberta-v1,42.51515483856201,0.09243936061859132,0.8393162393162393,0.84,0.8150877192982455,0.7049180327868853,0.9606666666666667,1.0,0.9348741513315239,50
sentence-transformers/paraphrase-MiniLM-L6-v2,19.77496099472046,0.09024141788482666,0.770445632798574,0.8,0.7791277890466531,0.6454545454545455,0.9766666666666666,1.0,0.923270076240848,50
